Название объявления;Цена;Район;Станция метро
 Офис 113 м² за 7,59 млн. руб.;67 237 руб. за м2;р-н Ленинский;nan
 Офис 93 м² за 7,6 млн. руб.;81 720 руб. за м2;р-н Нижегородский;nan
 Офис 76 м² за 7,68 млн. руб.;101 053 руб. за м2;р-н Нижегородский;nan
 Офис 122 м² за 7,91 млн. руб.;64 893 руб. за м2;р-н Канавинский;nan
 Офис 47 м² за 8 млн. руб.;170 213 руб. за м2;р-н Советский;nan
 Офис 80 м² за 8 млн. руб.;100 000 руб. за м2;р-н Советский;nan
 Офис 124 м² за 8,1 млн. руб.;65 367 руб. за м2;р-н Ленинский;nan
 Офис 126 м² за 8,17 млн. руб.;64 845 руб. за м2;р-н Канавинский;nan
 Офис 138 м² за 8,5 млн. руб.;61 594 руб. за м2;р-н Нижегородский;nan
 Офис 137 м² за 8,5 млн. руб.;62 044 руб. за м2;р-н Нижегородский;nan
 Офис 100 м² за 8,5 млн. руб.;85 000 руб. за м2;р-н Советский;nan
 Офис 166 м² за 9,15 млн. руб.;55 166 руб. за м2;р-н Канавинский;nan
 Офис 99 м² за 9,4 млн. руб.;94 949 руб. за м2;р-н Автозаводский;nan
Офис от 99 м² до 99 м² от 98 989 ₽;от 1 000 ₽ за м² ;р-н Автозаводский;nan
 Офис 260 м² за 9,9 млн. руб.;38 077 руб. за м2;р-н Канавинский;Ленинская
 Офис 300 м² за 10 млн. руб.;33 333 руб. за м2;р-н Канавинский;nan
 Офис 231 м² за 10,39 млн. руб.;45 000 руб. за м2;р-н Автозаводский;nan
 Офис 140 м² за 11 млн. руб.;78 571 руб. за м2;р-н Нижегородский;nan
 Офис 275 м² за 11 млн. руб.;40 000 руб. за м2;р-н Нижегородский;nan
 Офис 232 м² за 11,36 млн. руб.;48 966 руб. за м2;р-н Канавинский;Ленинская
 Офис 129 м² за 11,7 млн. руб.;90 698 руб. за м2;р-н Советский;nan
